frame,keypoint,x_coord,y_coord
0,head top,674.0,424.0
0,left elbow,721.0,881.0
0,right elbow,327.0,775.0
0,left wrist,670.0,894.0
0,right wrist,316.0,879.0
0,left knee,659.0,1088.0
0,right knee,264.0,922.0
0,left ankle,486.0,1205.0
0,right ankle,366.0,1088.0
